Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
5004,2022-07-28,11:00:00,200,102,5.4,19.8,2.1600000858306885,3.6
5005,2022-07-28,12:00:00,201,98,3.2399999141693114,18.359999656677246,1.8,3.2399999141693114
5006,2022-07-28,13:00:00,197,87,2.8800000429153445,18,1.8,3.2399999141693114
5007,2022-07-28,14:00:00,199,71,3.6,17.640000343322754,1.8,2.519999957084656
5008,2022-07-28,15:00:00,257,69,0.36000000536441806,16.2,1.0800000429153442,2.1600000858306885
5009,2022-07-28,16:00:00,204,69,1.4400000214576723,13.679999828338623,0.7200000107288361,1.8
5010,2022-07-28,17:00:00,5,80,1.8,10.079999828338623,1.0800000429153442,1.4400000214576723
5011,2022-07-28,18:00:00,16,88,1.8,8.279999828338623,1.0800000429153442,1.0800000429153442
5012,2022-07-28,19:00:00,352,100,1.0800000429153442,5.760000085830689,0.7200000107288361,0.7200000107288361
5013,2022-07-28,20:00:00,267,214,0.36000000536441806,2.1600000858306885,0.36000000536441806,0.7200000107288361
5014,2022-07-28,21:00:00,221,154,0.36000000536441806,3.2399999141693114,0.36000000536441806,1.0800000429153442
5015,2022-07-28,22:00:00,220,238,0.7200000107288361,4.320000171661377,0.36000000536441806,0.7200000107288361
5016,2022-07-28,23:00:00,215,244,1.0800000429153442,5.760000085830689,0.7200000107288361,0.7200000107288361
5017,2022-07-29,00:00:00,234,252,1.4400000214576723,8.640000343322754,1.0800000429153442,1.0800000429153442
5018,2022-07-29,01:00:00,208,253,3.2399999141693114,10.079999828338623,1.4400000214576723,1.4400000214576723
5019,2022-07-29,02:00:00,216,243,2.1600000858306885,10.8,1.0800000429153442,2.1600000858306885
5020,2022-07-29,03:00:00,214,244,2.1600000858306885,11.159999656677247,1.0800000429153442,2.1600000858306885
5021,2022-07-29,04:00:00,220,249,1.8,9,1.0800000429153442,1.4400000214576723
5022,2022-07-29,05:00:00,250,252,0.7200000107288361,7.9200001716613775,1.4400000214576723,1.0800000429153442
5023,2022-07-29,06:00:00,222,247,1.8,9.359999656677246,1.4400000214576723,1.8
5024,2022-07-29,07:00:00,215,239,1.4400000214576723,7.559999656677246,1.4400000214576723,1.4400000214576723
5025,2022-07-29,08:00:00,239,250,0.7200000107288361,7.559999656677246,1.0800000429153442,1.8
5026,2022-07-29,09:00:00,209,246,1.0800000429153442,7.559999656677246,1.4400000214576723,1.8
5027,2022-07-29,10:00:00,208,175,2.519999957084656,0.7200000107288361,1.8,2.1600000858306885
5028,2022-07-29,11:00:00,201,67,3.2399999141693114,11.159999656677247,2.1600000858306885,1.8
5029,2022-07-29,12:00:00,207,70,1.0800000429153442,12.959999656677246,1.8,1.8
5030,2022-07-29,13:00:00,316,69,0.36000000536441806,14.040000343322754,1.4400000214576723,1.4400000214576723
5031,2022-07-29,14:00:00,336,69,0.36000000536441806,14.759999656677246,1.4400000214576723,2.1600000858306885
5032,2022-07-29,15:00:00,332,75,0.7200000107288361,12.6,1.0800000429153442,1.8
5033,2022-07-29,16:00:00,356,74,0.7200000107288361,13.679999828338623,1.0800000429153442,1.8
5034,2022-07-29,17:00:00,333,80,0.7200000107288361,12.240000343322754,0.7200000107288361,1.8
5035,2022-07-29,18:00:00,299,94,0.36000000536441806,8.279999828338623,0.36000000536441806,1.4400000214576723
5036,2022-07-29,19:00:00,230,142,0.7200000107288361,3.2399999141693114,0.7200000107288361,0.7200000107288361
5037,2022-07-29,20:00:00,185,166,2.1600000858306885,2.8800000429153445,1.0800000429153442,0.7200000107288361
5038,2022-07-29,21:00:00,214,138,2.519999957084656,4.320000171661377,1.0800000429153442,1.0800000429153442
5039,2022-07-29,22:00:00,225,154,0.7200000107288361,3.2399999141693114,1.0800000429153442,0.7200000107288361
5040,2022-07-29,23:00:00,216,228,1.4400000214576723,3.2399999141693114,1.0800000429153442,0.7200000107288361
5041,2022-07-30,00:00:00,222,240,1.0800000429153442,3.6,1.0800000429153442,1.0800000429153442
5042,2022-07-30,01:00:00,228,204,1.0800000429153442,2.519999957084656,1.4400000214576723,1.4400000214576723
5043,2022-07-30,02:00:00,215,189,2.1600000858306885,3.2399999141693114,1.4400000214576723,1.4400000214576723
5044,2022-07-30,03:00:00,222,210,0.7200000107288361,3.6,1.0800000429153442,1.0800000429153442
5045,2022-07-30,04:00:00,224,245,0.7200000107288361,5.4,1.0800000429153442,0.7200000107288361
5046,2022-07-30,05:00:00,249,266,1.0800000429153442,4.320000171661377,1.4400000214576723,0.7200000107288361
5047,2022-07-30,06:00:00,225,250,0.7200000107288361,5.4,1.0800000429153442,0.7200000107288361
5048,2022-07-30,07:00:00,232,241,0.7200000107288361,4.679999828338623,1.4400000214576723,0.7200000107288361
5049,2022-07-30,08:00:00,218,146,1.8,5.4,1.8,2.519999957084656
5050,2022-07-30,09:00:00,206,119,3.6,15.119999313354493,2.519999957084656,3.6
5051,2022-07-30,10:00:00,194,106,4.320000171661377,22.319999313354494,2.519999957084656,3.9600000858306887
5052,2022-07-30,11:00:00,181,102,5.039999914169312,27,2.8800000429153445,4.320000171661377
5053,2022-07-30,12:00:00,170,100,3.9600000858306887,27.719999313354492,3.2399999141693114,4.679999828338623
5054,2022-07-30,13:00:00,141,94,3.6,27.719999313354492,2.8800000429153445,5.039999914169312
5055,2022-07-30,14:00:00,135,95,4.679999828338623,28.8,2.519999957084656,5.4
5056,2022-07-30,15:00:00,118,99,3.9600000858306887,29.519999313354493,2.519999957084656,5.039999914169312
5057,2022-07-30,16:00:00,106,101,3.6,30.239998626708985,2.1600000858306885,5.039999914169312
5058,2022-07-30,17:00:00,91,101,2.1600000858306885,30.6,1.4400000214576723,5.039999914169312
5059,2022-07-30,18:00:00,76,105,2.8800000429153445,25.2,2.1600000858306885,4.320000171661377
5060,2022-07-30,19:00:00,85,110,1.8,18.359999656677246,1.4400000214576723,3.2399999141693114
5061,2022-07-30,20:00:00,125,108,1.4400000214576723,20.88000068664551,1.4400000214576723,3.6
5062,2022-07-30,21:00:00,151,122,3.6,16.91999931335449,2.519999957084656,3.2399999141693114
5063,2022-07-30,22:00:00,166,123,3.2399999141693114,14.759999656677246,2.1600000858306885,2.8800000429153445
5064,2022-07-30,23:00:00,184,128,3.2399999141693114,15.480000686645509,1.4400000214576723,2.8800000429153445
5065,2022-07-31,00:00:00,223,128,0.7200000107288361,15.840000343322755,1.0800000429153442,3.2399999141693114
5066,2022-07-31,01:00:00,220,129,1.4400000214576723,14.759999656677246,1.4400000214576723,3.2399999141693114
